trackid,numtrajpoints,lastupdatetime
17585702,0,2018-01-12 17:58:58.013104
17585800,0,2018-01-12 17:58:58.500566
17585801,0,2018-01-12 17:58:58.994708
17590200,0,2018-01-12 17:59:02.725121
17591100,0,2018-01-12 17:59:11.905844
17591200,0,2018-01-12 17:59:12.093428
17591300,0,2018-01-12 17:59:13.412814
17591301,0,2018-01-12 17:59:14.020105
17591400,0,2018-01-12 17:59:14.907959
17591600,0,2018-01-12 17:59:16.609785
17591700,0,2018-01-12 17:59:17.30971
17591800,0,2018-01-12 17:59:18.260609
17592101,0,2018-01-12 17:59:22.036255
17592100,0,2018-01-12 17:59:22.036255
17592400,0,2018-01-12 17:59:24.703316
17592501,0,2018-01-12 17:59:25.519792
17592500,0,2018-01-12 17:59:25.519792
17592700,0,2018-01-12 17:59:28.184584
17592801,0,2018-01-12 17:59:28.410276
17592800,0,2018-01-12 17:59:28.410276
17592803,0,2018-01-12 17:59:28.911529
17592802,0,2018-01-12 17:59:28.911529
17592900,0,2018-01-12 17:59:29.324979
17593001,0,2018-01-12 17:59:30.217277
17593000,0,2018-01-12 17:59:30.217277
17593002,0,2018-01-12 17:59:30.617243
17593100,0,2018-01-12 17:59:31.572113
17593200,0,2018-01-12 17:59:32.976371
17593300,0,2018-01-12 17:59:33.978099
17593400,0,2018-01-12 17:59:34.242637
17593401,0,2018-01-12 17:59:34.567627
17593402,0,2018-01-12 17:59:34.917878
17593600,0,2018-01-12 17:59:36.217322
17593800,0,2018-01-12 17:59:38.98709
17593900,0,2018-01-12 17:59:39.230052
17593901,0,2018-01-12 17:59:39.90009
18001100,0,2018-01-12 18:00:12.031743
18001200,0,2018-01-12 18:00:12.976569
18001301,0,2018-01-12 18:00:13.591998
18001300,0,2018-01-12 18:00:13.591998
18001500,0,2018-01-12 18:00:15.503702
18001501,0,2018-01-12 18:00:15.602967
18001503,0,2018-01-12 18:00:15.690156
18001502,0,2018-01-12 18:00:15.690156
